Variable,Min,Max,Mean,StdDev,Median,Percentile 25%,Percentile 75%,Sum,Count,Unit,Category,Channel,Class,Collection,Image,Surfaces,Time
Area,39.796,42.947,41.371,1.575,41.371,40.583,42.159,82.742,2,µm^2,Surface,,,,,,1
Area,84.183,84.424,84.304,0.12,84.304,84.243,84.364,168.607,2,µm^2,Surface,,,,,,2
Area,120.93,123.14,122.035,1.105,122.035,121.483,122.587,244.07,2,µm^2,Surface,,,,,,3
Area,150.732,160.799,155.765,5.034,155.765,153.248,158.283,311.531,2,µm^2,Surface,,,,,,4
Area,188.672,209.985,199.328,10.657,199.328,193.996,204.66,398.656,2,µm^2,Surface,,,,,,5
Area,214.352,248.34,231.346,16.994,231.346,222.852,239.836,462.693,2,µm^2,Surface,,,,,,6
Area,241.28,278.102,259.691,18.411,259.691,250.477,268.898,519.381,2,µm^2,Surface,,,,,,7
Area,257.816,312.689,285.252,27.436,285.252,271.547,298.984,570.505,2,µm^2,Surface,,,,,,8
Area,272.142,286.017,279.079,6.937,279.079,275.613,282.551,558.158,2,µm^2,Surface,,,,,,9
Area,281.508,310.75,296.129,14.621,296.129,288.82,303.445,592.259,2,µm^2,Surface,,,,,,10
Area,258.661,269.171,263.916,5.255,263.916,261.287,266.541,527.831,2,µm^2,Surface,,,,,,11
Area,287.599,287.599,287.599,0,287.599,287.599,287.599,287.599,1,µm^2,Surface,,,,,,12
Area,274.638,274.638,274.638,0,274.638,274.638,274.638,274.638,1,µm^2,Surface,,,,,,13
Area,68.493,75.162,71.828,3.334,71.828,70.161,73.495,143.656,2,µm^2,Surface,,,,,,15
Area,103.555,107.043,105.299,1.744,105.299,104.428,106.172,210.598,2,µm^2,Surface,,,,,,16
Area,36.388,137.588,88.069,49.539,89.149,39.641,137.588,352.274,4,µm^2,Surface,,,,,,17
Area,87.602,167.751,128.123,39.389,128.569,89.328,167.406,512.49,4,µm^2,Surface,,,,,,18
Area,110.751,199.032,154.764,42.905,154.636,112.469,196.969,619.055,4,µm^2,Surface,,,,,,19
Area,126.351,216.219,170.197,43.148,169.108,127.469,211.812,680.786,4,µm^2,Surface,,,,,,20
Area,142.947,227.523,186.217,40.821,187.2,146.672,226.734,744.87,4,µm^2,Surface,,,,,,21
Area,147.999,238.327,195.039,39.783,196.915,159.594,232.344,780.157,4,µm^2,Surface,,,,,,22
Area,158.132,239.524,202.261,37.338,205.693,168.844,239.109,809.043,4,µm^2,Surface,,,,,,23
Area,164.059,258.326,214.73,40.152,218.268,181.234,251.734,858.921,4,µm^2,Surface,,,,,,24
Area,169.257,206.243,193.048,14.152,198.345,189.914,201.477,772.191,4,µm^2,Surface,,,,,,25
Area,174.141,209.564,191.853,17.711,191.853,183,200.719,383.705,2,µm^2,Surface,,,,,,26
Area,174.171,221.876,198.024,23.853,198.024,186.102,209.961,396.047,2,µm^2,Surface,,,,,,27
Area,184.299,233.982,209.141,24.842,209.141,196.719,221.562,418.281,2,µm^2,Surface,,,,,,28
Area,57.423,241.952,140.924,82.732,132.16,60.344,212.781,563.695,4,µm^2,Surface,,,,,,29
Area,97.417,208.667,135.458,51.78,100.29,98.844,154.469,406.373,3,µm^2,Surface,,,,,,30
Area,41.792,211.549,124.921,60.047,123.172,102.188,145.938,499.684,4,µm^2,Surface,,,,,,31
Area,42.195,213.635,136.053,61.173,144.191,117.188,163.062,544.212,4,µm^2,Surface,,,,,,32
Area,35.07,212.671,140.741,65.143,157.612,122.719,175.656,562.964,4,µm^2,Surface,,,,,,33
Area,75.599,209.097,139.177,53.531,160.96,77.562,172.688,695.886,5,µm^2,Surface,,,,,,34
Area,102.734,178.815,138.657,35.588,136.539,103.469,171.719,554.627,4,µm^2,Surface,,,,,,35
Area,115.941,190.928,150.988,32.421,148.542,120.797,178.766,603.953,4,µm^2,Surface,,,,,,36
Area,35.559,203.651,118.889,64.685,128.292,58.312,168.969,713.337,6,µm^2,Surface,,,,,,37
Area,134.551,211.56,169.804,33.885,166.553,137.438,198.922,679.217,4,µm^2,Surface,,,,,,38
Area,37.346,217.025,118.501,69.545,131.118,48.938,173,829.508,7,µm^2,Surface,,,,,,39
Area,63.908,217.384,166.94,55.904,193.919,153.188,206.312,834.702,5,µm^2,Surface,,,,,,40
Area,78.614,216.088,170.519,50.737,188.387,156.312,213.188,852.593,5,µm^2,Surface,,,,,,41
Area,88.844,215.26,164.919,47.901,177.786,143.375,199.281,659.676,4,µm^2,Surface,,,,,,42
Area,73.476,222.181,152.746,58.411,169.134,96.188,202.688,763.728,5,µm^2,Surface,,,,,,43
Area,95.935,221.758,158.834,47.069,166.813,115.938,193.781,953.002,6,µm^2,Surface,,,,,,44
Area,77.489,222.878,159.352,57.486,182.941,105.688,207.812,796.76,5,µm^2,Surface,,,,,,45
Area,100.386,201.962,153.365,36.419,163.95,122.281,177.141,920.189,6,µm^2,Surface,,,,,,46
Area,101.354,174.457,128.659,32.583,110.167,105.75,142.312,385.978,3,µm^2,Surface,,,,,,47
Area,105.962,189.608,143.876,34.992,139.967,112.062,171.781,575.504,4,µm^2,Surface,,,,,,48
Area,107.191,177.875,134.749,30.885,119.18,113.188,148.5,404.246,3,µm^2,Surface,,,,,,49
Area,107.925,199.583,152.225,39.198,150.697,116.672,186.234,608.901,4,µm^2,Surface,,,,,,50
